horizon,residual_beta,strict_loan_core_min_beta,strict_loan_source_beta,strict_non_treasury_securities_beta,strict_identifiable_total_beta,strict_identifiable_gap_beta,arithmetic_residual_minus_total_beta,strict_gap_share_of_residual,residual_n,strict_total_n,strict_gap_n,interpretation
0,-56.223002789186694,-12.936216667743267,-14.361312827632876,10.512832325809482,-3.3212742360073477,-51.45101110629406,-52.901728553179346,0.915123855963623,119,119,119,large_unidentified_remainder
1,-68.99579094659518,-16.311852037522378,-16.059645508791995,14.222523995260342,-1.55093125282648,-67.5818703711079,-67.4448596937687,0.979507147376835,118,118,118,large_unidentified_remainder
2,-95.17061531756876,-22.46943932854726,-28.061312668871658,19.19274890721303,-9.563593239826258,-86.25202441447844,-85.6070220777425,0.906288397176687,117,117,117,large_unidentified_remainder
3,-66.64949456041825,-17.794475198279226,-15.436018730398068,18.782083013278843,2.1646944625925997,-69.90249529832533,-68.81418902301084,1.0488075830036223,116,116,116,large_unidentified_remainder
4,-70.27564601632174,-24.85888739376021,-23.7266209046791,26.443065297344976,1.6242148598417572,-74.73928102867838,-71.8998608761635,1.0635161007459104,115,115,115,large_unidentified_remainder
5,-88.90421794686286,-21.88649716706267,-18.10633579096514,27.470533352954693,6.454855383069557,-97.6971133459243,-95.35907332993241,1.0989030172259866,114,114,114,large_unidentified_remainder
6,-128.35022879375526,-21.339697991665858,-21.620042010328014,27.278211788168935,1.8476544156253993,-130.1097942637959,-130.19788320938068,1.0137090949239214,113,113,113,large_unidentified_remainder
7,-123.49309907480924,-13.987755116907366,-6.782359421050984,26.251100871192676,15.33496979981166,-136.45058127714066,-138.8280688746209,1.104924747207794,112,112,112,large_unidentified_remainder
8,-137.14820495288674,-20.179364374136664,-17.516864309908087,30.833509805595828,9.15206279903046,-145.1436729824548,-146.3002677519172,1.0582980144167011,111,111,111,large_unidentified_remainder
