scope,variant,role,horizon,beta_total,beta_other,beta_implied,beta_direct,direct_lower95,direct_upper95,direct_ci_excludes_zero,gap_implied_minus_direct,abs_gap,n_total,n_other,n_direct,sample_mismatch_flag,identity_check_mode,contrast_consistent,implied_sign,direct_sign
baseline,baseline,headline,0,28.95006368418275,-56.223002789186694,85.17306647336945,86.08814077380539,58.0460472713992,114.13023427621158,True,-0.915074300435947,0.915074300435947,119,119,119.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,1,44.45196715467209,-68.99579094659518,113.44775810126727,115.95916898888741,70.00493995417825,161.91339802359659,True,-2.511410887620144,2.511410887620144,118,118,118.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,2,41.5026075787145,-95.17061531756876,136.67322289628328,146.89154006334346,74.65959732192654,219.12348280476039,True,-10.218317167060178,10.218317167060178,117,117,117.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,3,58.59828794606983,-66.64949456041825,125.24778250648808,144.51010865008578,64.2062099215436,224.81400737862796,True,-19.262326143597704,19.262326143597704,116,116,116.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,4,71.79333642998903,-70.27564601632174,142.06898244631077,172.8674661880664,74.81099338455249,270.9239389915803,True,-30.798483741755632,30.798483741755632,115,115,115.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,5,51.03649376811648,-88.90421794686286,139.94071171497933,174.6857194206256,59.97192412861574,289.39951471263544,True,-34.74500770564626,34.74500770564626,114,114,114.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,6,30.82706261034538,-128.35022879375526,159.17729140410063,194.29624566042375,52.60692737478459,335.98556394606294,True,-35.11895425632312,35.11895425632312,113,113,113.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,7,43.66277889572578,-123.49309907480924,167.15587797053502,199.1957353817741,44.80557116770271,353.5858995958455,True,-32.0398574112391,32.0398574112391,112,112,112.0,False,approximate_with_outcome_specific_lags,False,positive,positive
baseline,baseline,headline,8,51.06433451600243,-137.14820495288674,188.2125394688892,219.83216429237058,60.81566493621017,378.848663648531,True,-31.619624823481388,31.619624823481388,111,111,111.0,False,approximate_with_outcome_specific_lags,False,positive,positive
exact_identity_baseline,baseline,headline,0,37.977694851980814,-48.11044592182458,86.08814077380539,86.08814077380539,76.91378655770903,178.46273021278503,True,0.0,0.0,119,119,119.0,False,exact_identity_baseline,True,positive,positive
exact_identity_baseline,baseline,headline,1,54.73477407890318,-61.224394909984234,115.95916898888741,115.95916898888741,81.64442436688431,239.23190477466022,True,0.0,0.0,118,118,118.0,False,exact_identity_baseline,True,positive,positive
exact_identity_baseline,baseline,headline,2,57.85894107860278,-89.03259898474067,146.89154006334346,146.89154006334346,98.84227170949558,330.91250416646955,True,0.0,0.0,117,117,117.0,False,exact_identity_baseline,True,positive,positive
exact_identity_baseline,baseline,headline,3,79.19651719651552,-65.31359145357027,144.51010865008578,144.51010865008578,81.82744634831472,339.2516301964738,True,0.0,0.0,116,116,116.0,False,exact_identity_baseline,True,positive,positive
exact_identity_baseline,baseline,headline,4,95.30474128450595,-77.56272490356045,172.8674661880664,172.8674661880664,76.43912886345232,431.5929761708225,True,0.0,0.0,115,115,115.0,False,exact_identity_baseline,True,positive,positive
exact_identity_baseline,baseline,headline,5,77.73069969669018,-96.95501972393541,174.6857194206256,174.6857194206256,36.62871711847897,446.53666036895,True,0.0,0.0,114,114,114.0,False,exact_identity_baseline,True,positive,positive
