horizon,strict_identifiable_total_beta,strict_funding_offset_total_beta,strict_funding_offset_share_of_identifiable_total_beta,strict_identifiable_net_after_funding_beta,strict_gap_after_funding_beta,identifiable_total_n,funding_total_n,net_after_funding_n,gap_after_funding_n,interpretation
0,-3.3212742360073477,-5.336247784922859,1.6066868935634178,1.5529270871549983,-55.34389158661477,119,119,119,119,funding_offsets_dominate_identifiable_total
1,-1.55093125282648,-13.13374527154323,8.46829622370931,10.664211669372794,-78.71353651092026,118,118,118,118,funding_offsets_dominate_identifiable_total
2,-9.563593239826258,-15.413600914223151,1.6116955758882914,5.470108168888714,-100.01665221489348,117,117,117,117,funding_offsets_dominate_identifiable_total
3,2.1646944625925997,-16.10067357768028,-7.437850401482023,17.04311170051183,-85.21801190567854,116,116,116,116,funding_offsets_dominate_identifiable_total
4,1.6242148598417572,-16.763402756182057,-10.320926849428819,18.947649503453988,-91.72250541034254,115,115,115,115,funding_offsets_dominate_identifiable_total
5,6.454855383069557,-9.610320902162487,-1.4888514663503387,16.32493781234877,-107.16330184091296,114,114,114,114,funding_offsets_dominate_identifiable_total
6,1.8476544156253993,-2.0048378417854096,-1.085071875363016,4.504135282099014,-130.53639179505842,113,113,113,113,funding_offsets_dominate_identifiable_total
7,15.33496979981166,-1.3741966017347225,-0.08961195357238982,18.194980204637673,-136.51324377933338,112,112,112,112,funding_offsets_small_relative_to_identifiable_total
8,9.15206279903046,-0.06264078163144404,-0.00684444403485518,12.869410490424201,-145.42979307994756,111,111,111,111,funding_offsets_small_relative_to_identifiable_total
