sample_variant,sample_role,sample_filter,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,0,0.06311304113808158,0.747489248086963,-1.401965885112366,1.5281919673885291,92,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,1,-2.504916003860984,3.690020320376671,-9.73735583179926,4.727523824077291,91,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,2,-4.454833148936697,3.4796119630578786,-11.274872596530138,2.3652062986567453,90,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,3,-8.277736608275786,5.555705378811528,-19.16691915074638,2.6114459341948084,89,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,4,-3.0126403875425227,3.166104185749512,-9.218204591611567,3.1929238165265206,88,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,5,1.2634113968312188,2.30349892768171,-3.2514465014249323,5.77826929508737,87,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,6,0.9385375260206761,2.6610035121663715,-4.277029357825412,6.154104409866764,86,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,7,-4.829074979979257,3.3201798360988795,-11.33662745873306,1.678477498774546,85,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_deposit_substitution_qoq,8,-5.959075131005311,3.706949568932337,-13.224696286112692,1.3065460241020697,84,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,0,-22.361894157006002,10.07868924538257,-42.11612507795584,-2.6076632360561653,92,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,1,-29.4354067209874,14.667083767224327,-58.18289090474708,-0.6879225372277205,91,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,2,-44.068909602057225,16.277255281798418,-75.97232995438212,-12.165489249732328,90,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,3,-28.696201360512823,21.2174749281419,-70.28245221967094,12.890049498645304,89,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,4,-41.06637675193981,21.88310419519333,-83.95726097451873,1.8245074706391122,88,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,5,-29.275603564577146,22.80351140630927,-73.9704859209433,15.419278791789019,87,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,6,-41.292265600710564,26.238901214151063,-92.72051198044664,10.135980779025516,86,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,7,-20.548957085978387,27.101423545204955,-73.6677472345801,32.569833062623324,85,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_bank_balance_sheet_qoq,8,-38.196772444276945,27.18612822503924,-91.48158376535386,15.088038876799963,84,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_public_liquidity_qoq,0,44.25298739106782,17.91758899461282,9.13451296162669,79.37146182050896,91,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,accounting_public_liquidity_qoq,1,34.098232376807246,31.36273244683265,-27.372723218984746,95.56918797259924,90,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
