control_variant,control_role,control_columns,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,0,0.06311304113808158,0.747489248086963,-1.401965885112366,1.5281919673885291,92,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,1,-2.504916003860984,3.690020320376671,-9.73735583179926,4.727523824077291,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,2,-4.454833148936697,3.4796119630578786,-11.274872596530138,2.3652062986567453,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,3,-8.277736608275786,5.555705378811528,-19.16691915074638,2.6114459341948084,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,4,-3.0126403875425227,3.166104185749512,-9.218204591611567,3.1929238165265206,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,5,1.2634113968312188,2.30349892768171,-3.2514465014249323,5.77826929508737,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,6,0.9385375260206761,2.6610035121663715,-4.277029357825412,6.154104409866764,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,7,-4.829074979979257,3.3201798360988795,-11.33662745873306,1.678477498774546,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_deposit_substitution_qoq,8,-5.959075131005311,3.706949568932337,-13.224696286112692,1.3065460241020697,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,0,-22.361894157006002,10.07868924538257,-42.11612507795584,-2.6076632360561653,92,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,1,-29.4354067209874,14.667083767224327,-58.18289090474708,-0.6879225372277205,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
