outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
strict_loan_consumer_credit_qoq,0,-9.614618825387861,2.1407940307057847,-13.810575125571198,-5.418662525204524,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,1,-9.78294520776889,5.524806326353476,-20.611565607421703,1.045675191883923,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,2,-10.92432676247326,6.538143661738301,-23.739088339480332,1.8904348145338101,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,3,-7.3989220365983375,7.6956429848365655,-22.482382286878007,7.68453821368133,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,4,-13.698680490305549,9.312658022572286,-31.951490214547228,4.554129233936131,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,5,-7.06483760519786,10.624252496241136,-27.888372497830485,13.758697287434767,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,6,-6.6700072679886695,10.29101906277899,-26.84040463103549,13.500390095058151,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,7,-2.5432534363548642,10.2100399449553,-22.55493172846725,17.468424855757522,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_consumer_credit_qoq,8,-6.925480264059906,9.731899505476942,-26.000003294794713,12.1490427666749,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,0,-0.26454114113574967,9.534274569487632,-18.951719297331508,18.422637015060012,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,1,3.5265012685932255,12.704268092290631,-21.37386419229641,28.42686672948286,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,2,-8.96910891834261,12.21207667799035,-32.904779207203696,14.966561370518477,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,3,-3.0197878294970977,8.937770364047571,-20.537817743030338,14.498242084036143,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
