treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,checkable_deposits_bank_qoq,8,40.79997258332444,56.61835654572126,-70.17200624628924,151.7719514129381,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,0,8.00501221930816,3.844558711726495,0.4696771443242298,15.54034729429209,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,1,3.7177646342873274,4.7996232151669815,-5.689496867439956,13.125026136014611,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,2,-1.0024511852847695,8.63375196341946,-17.92460503358691,15.919702663017372,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,3,-3.7140576236211063,8.188916442806848,-19.764333851522526,12.336218604280315,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,4,-1.3184370165372865,7.956289256826345,-16.912763959916923,14.27588992684235,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,5,-4.74207964513433,7.810542217506662,-20.050742391447386,10.566583101178727,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,6,2.427512224058084,6.869816855794825,-11.037328813299773,15.892353261415941,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,7,5.707517166586658,7.807503257846973,-9.595189218793408,21.010223551966725,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_bank_qoq,8,19.325261649894898,9.988346887471176,-0.2518982495486064,38.9024215493384,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,0,14.970380504584234,9.443218029444957,-3.538326833127879,33.47908784229635,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,1,24.516569787116058,18.18453875949701,-11.125126181498079,60.1582657557302,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,2,22.33694003465893,22.44663521481811,-21.658464986384566,66.33234505570243,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,3,10.015863879022678,19.511289943678616,-28.226264410587408,48.25799216863277,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,4,14.793727981740965,20.21166685486137,-24.82113905378732,54.40859501726925,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,5,1.0947589499764447,20.110479877167997,-38.321781609272826,40.511299509225715,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,6,-13.998287084661058,20.887521355863893,-54.93782894215429,26.941254772832174,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,7,-21.620002029787273,24.73391110553272,-70.09846779663141,26.85846373705686,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,time_savings_deposits_bank_qoq,8,-17.874540295984204,25.8723407536958,-68.58432817322796,32.83524758125956,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,0,-2.522404116126783,0.8203624771648205,-4.130314571369832,-0.9144936608837351,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,1,-1.9773566425921385,0.9427722890765696,-3.825190329182215,-0.1295229560020621,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,2,-0.4086041753922067,0.6628070209106751,-1.7077059363771299,0.8904975855927164,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,3,0.09846208486390265,0.548754909526583,-0.9770975378082001,1.1740217075360053,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,4,-1.3782313819335918,0.7626971000401804,-2.8731176980123454,0.1166549341451617,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,5,-1.737529082912892,0.9147380746393101,-3.53041570920594,0.05535754338015586,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,6,-0.3801743813412536,0.6950466674029213,-1.7424658494509795,0.9821170867684722,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,7,-0.26447781126773034,0.6353044642225099,-1.5096745611438498,0.980718938608389,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_federal_govt_bank_qoq,8,-2.329466295160353,0.9478658992487359,-4.187283457687876,-0.4716491326328307,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,0,1.1577321223111103,0.4894721824472291,0.19836664471454124,2.1170975999076793,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,1,1.4813725406379166,0.7187636422692238,0.07259580179023795,2.890149279485595,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,2,1.80733849377664,1.0208651392018948,-0.19355717905907377,3.808234166612354,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,3,2.704660988371126,1.399655116050358,-0.03866303908757596,5.447985015829827,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,4,4.17272525446664,1.83267427973879,0.5806836661786119,7.764766842754669,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,5,4.777004279093308,2.6067878091276575,-0.3322998267969002,9.886308384983517,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,6,4.193251677736407,3.1202495694939065,-1.9224374784716503,10.308940833944463,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,7,4.88740988111063,3.5409550644111345,-2.0528620451351935,11.827681807356452,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_state_local_bank_qoq,8,5.843171394435187,3.699715282514247,-1.4082705592927374,13.094613348163112,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,0,0.39992603677238703,0.34178608897894647,-0.26997469762634807,1.069826771171122,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,1,-0.1750652100855551,0.5048395712800415,-1.1645507697944364,0.8144203496233263,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,2,0.3398221101842724,0.7484548701562015,-1.1271494353218825,1.8067936556904274,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,3,-0.06112357240180699,0.8002906463593044,-1.6296932392660435,1.5074460944624297,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,4,0.06237314038069652,0.9123152531446979,-1.7257647557829112,1.8505110365443045,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,5,-0.5373924275209105,0.7645202723757759,-2.035852161377431,0.9610673063356101,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,6,-0.16250874005412486,0.8340121058483722,-1.7971724675169343,1.4721549874086843,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,7,0.17137523208733618,0.8205466749195817,-1.4368962507550438,1.7796467149297164,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_rest_of_world_bank_qoq,8,0.20191272872633614,0.7556903001997555,-1.2792402596651846,1.6830657171178567,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,0,12.289011695666497,6.095984458328785,0.3408821573420777,24.23714123399092,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,1,9.73526602923745,15.076810721211498,-19.815282984337085,39.28581504281199,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
