horizon,residual_beta,accounting_total_beta,identity_gap_beta,arithmetic_residual_minus_total_beta,identity_gap_share_of_residual,residual_n,accounting_total_n,identity_gap_n,interpretation
0,-56.223002789186694,-65.03773830060437,-0.641483087652235,8.81473551141768,0.011409619832251484,119,91,91,tight_closure
1,-68.99579094659518,-83.55130148086025,-2.56764787432439,14.555510534265068,0.037214558150537425,118,90,90,tight_closure
2,-95.17061531756876,-117.61410941792504,-3.6092931948144695,22.443494100356276,0.03792444950335615,117,89,89,tight_closure
3,-66.64949456041825,-86.13835218668801,-1.0294474489911591,19.488857626269763,0.015445690260380859,116,88,88,tight_closure
4,-70.27564601632174,-91.50872100732244,-2.534574523609713,21.23307499100069,0.03606618604432395,115,87,87,tight_closure
5,-88.90421794686286,-114.11981176791451,-1.5779476572899658,25.215593821051655,0.01774885032151218,114,86,86,tight_closure
6,-128.35022879375526,-162.8226776457021,-1.930544175944168,34.47244885194684,0.015041221150032702,113,85,85,tight_closure
7,-123.49309907480924,-156.3215613708605,-0.22732076952482094,32.82846229605127,0.001840756861945098,112,84,84,tight_closure
8,-137.14820495288674,-167.02611592089917,-1.728467544265366,29.87791096801243,0.0126029177331131,111,83,83,tight_closure
